188	260	4
179	281	7
187	253	8
161	315	9
173	241	9
317	242	10
310	319	10
282	273	11
198	234	11
215	256	12
190	311	12
303	319	12
283	231	13
181	235	13
156	234	13
188	295	13
359	278	14
342	345	15
369	285	15
185	228	15
195	334	15
157	315	15
217	278	16
379	280	16
330	233	17
371	305	17
162	348	17
309	305	18
383	265	18
367	261	19
351	292	19
290	227	19
147	287	19
235	263	19
147	351	19
130	339	20
180	263	20
227	265	21
189	228	21
120	278	22
135	285	22
392	256	22
279	319	22
108	257	23
149	277	24
156	348	24
236	278	24
332	294	24
264	281	25
276	295	25
389	249	25
130	237	25
222	269	25
203	280	26
345	209	26
285	300	26
319	317	27
181	230	28
198	217	28
313	290	28
384	304	28
304	199	28
323	165	29
275	161	29
170	356	29
131	350	29
146	195	30
321	365	31
198	317	31
179	175	32
409	225	32
288	352	32
390	276	32
395	245	33
318	230	33
343	378	33
116	274	33
223	283	33
129	314	34
190	168	34
298	149	34
298	227	34
377	223	34
410	234	35
96	309	35
101	278	35
399	200	36
96	233	36
112	214	36
199	172	36
219	298	37
186	197	37
335	285	37
360	297	38
334	379	38
361	192	38
272	157	38
194	325	38
209	278	38
121	177	38
182	333	39
327	179	39
364	377	39
313	347	39
368	361	40
365	179	40
167	296	40
207	306	41
150	237	41
193	176	41
398	279	41
281	328	41
315	381	42
330	151	42
193	393	42
217	288	42
178	148	43
181	202	43
136	313	43
293	183	43
345	344	43
379	361	43
300	292	44
364	270	44
144	163	44
179	160	44
94	319	45
127	292	45
388	188	45
295	322	45
326	342	46
389	219	46
363	189	46
312	140	46
105	341	46
200	181	46
191	376	47
173	384	47
223	309	47
136	149	47
192	145	47
340	373	47
278	148	47
329	361	48
343	333	48
102	215	48
158	154	48
403	317	49
361	166	49
307	179	50
373	220	50
368	241	50
415	265	50
202	396	50
207	383	50
143	142	50
171	361	51
297	340	51
396	244	52
129	178	52
92	222	52
134	182	53
200	156	53
368	145	53
315	384	54
93	213	54
129	365	54
191	385	54
404	233	56
400	181	56
304	334	56
392	368	56
132	145	57
324	197	57
378	306	57
353	147	58
150	212	58
158	218	59
331	178	59
333	135	59
290	371	60
226	285	60
119	177	60
150	136	61
128	355	61
398	208	62
328	125	62
366	316	62
305	307	62
103	190	62
145	212	62
180	168	62
223	292	62
123	245	63
133	171	63
128	325	63
336	166	63
301	339	64
197	351	64
124	328	64
174	357	64
195	159	64
91	228	64
209	305	65
383	252	65
359	350	65
353	205	66
321	133	66
209	302	66
86	307	66
84	210	66
195	205	66
122	240	67
182	294	67
112	308	67
412	290	67
402	177	67
357	132	67
361	409	68
388	364	68
299	372	68
204	338	68
153	281	68
91	244	68
192	175	68
104	211	69
353	155	70
307	337	71
399	339	72
187	149	73
361	292	73
361	169	74
294	320	74
361	356	74
388	350	74
158	170	74
190	133	74
99	262	74
223	309	75
172	188	75
381	256	76
350	295	76
296	341	76
402	232	77
386	310	77
150	174	78
106	263	79
144	185	79
398	160	79
417	203	80
378	224	80
87	299	80
347	330	81
396	234	81
359	396	82
81	243	82
207	342	83
90	328	83
197	338	83
377	206	84
295	314	84
96	232	84
163	366	84
132	167	84
173	142	84
148	312	85
113	249	85
402	312	86
360	342	86
217	296	87
412	284	87
383	352	87
305	339	87
365	370	88
411	198	88
179	361	88
191	134	88
190	366	89
93	304	89
158	194	89
368	314	89
340	353	89
320	337	90
148	357	90
121	198	90
173	144	90
97	217	91
111	225	91
130	310	91
232	300	91
378	282	92
173	362	95
426	197	95
375	380	95
298	308	96
398	349	96
412	357	97
104	339	98
82	231	104
407	192	103
